method,classifier,C,gamma,seed,fold,OA,macro_F1,kappa
USP,rbf_svm,100.000000,0.1,43,0,0.923077,0.914625,0.901928
USP,rbf_svm,100.000000,1,43,0,0.769231,0.776613,0.697414
USP,rbf_svm,100.000000,10,43,0,0.487179,0.371615,0.296029
SNV,svm,0.010000,scale,43,0,0.794872,0.779492,0.743632
SNV,svm,0.100000,scale,43,0,0.794872,0.775127,0.743632
SNV,svm,1.000000,scale,43,0,0.794872,0.790079,0.742998
SNV,svm,10.000000,scale,43,0,0.743590,0.742926,0.675541
SNV,svm,100.000000,scale,43,0,0.743590,0.742926,0.675541
SNV,rbf_svm,0.100000,0.001,43,0,0.076923,0.023810,0.000000
SNV,rbf_svm,0.100000,0.01,43,0,0.076923,0.023810,0.000000
SNV,rbf_svm,0.100000,0.1,43,0,0.487179,0.523062,0.406844
SNV,rbf_svm,0.100000,1,43,0,0.076923,0.023810,0.000000
SNV,rbf_svm,0.100000,10,43,0,0.076923,0.023810,0.000000
SNV,rbf_svm,1.000000,0.001,43,0,0.076923,0.024390,-0.002141
SNV,rbf_svm,1.000000,0.01,43,0,0.846154,0.835053,0.806931
SNV,rbf_svm,1.000000,0.1,43,0,0.923077,0.905397,0.901182
SNV,rbf_svm,1.000000,1,43,0,0.615385,0.518411,0.480923
SNV,rbf_svm,1.000000,10,43,0,0.282051,0.073333,0.000000
SNV,rbf_svm,10.000000,0.001,43,0,0.820513,0.803307,0.776230
SNV,rbf_svm,10.000000,0.01,43,0,0.871795,0.850335,0.838442
SNV,rbf_svm,10.000000,0.1,43,0,0.871795,0.861199,0.833901
SNV,rbf_svm,10.000000,1,43,0,0.641026,0.531885,0.515528
SNV,rbf_svm,10.000000,10,43,0,0.333333,0.127671,0.071429
SNV,rbf_svm,100.000000,0.001,43,0,0.794872,0.805952,0.741294
SNV,rbf_svm,100.000000,0.01,43,0,0.871795,0.842078,0.836957
SNV,rbf_svm,100.000000,0.1,43,0,0.871795,0.861199,0.833901
