ratio,method,ID_mean,ID_std,OOD-Turbid_mean,OOD-Turbid_std,OOD-Foamy_mean,OOD-Foamy_std,ID-IllumShift_mean,ID-IllumShift_std,ID-SensorDrift_mean,ID-SensorDrift_std,ID-BandShift_mean,ID-BandShift_std,OOD-IllumShift_mean,OOD-IllumShift_std,OOD-SensorDrift_mean,OOD-SensorDrift_std,OOD-BandShift_mean,OOD-BandShift_std
0.5,"A3*: Global TruncSVD (MSC-Pre, Centered)",0.8436437246963563,0.05415111835414485,0.9045594300712411,0.028732423388043854,0.8440163265306123,0.04950857768301846,0.8436437246963563,0.05415111835414485,0.2595411605937922,0.10932490909949635,0.4916599190283401,0.12694064730804921,0.9045594300712411,0.028732423388043854,0.29007374078240217,0.08810189327448735,0.5507761529808773,0.11597443232149099
0.5,A3: Global TruncSVD (MSC-Pre),0.8332523616734143,0.04050144023540749,0.9036170478690164,0.023834760996261296,0.8472489795918368,0.05556948115534229,0.8332523616734143,0.04050144023540749,0.2855060728744939,0.12008889925396342,0.49346828609986504,0.11712283725653,0.9036170478690164,0.023834760996261296,0.3300262467191601,0.08876646175365156,0.5736657917760281,0.11727290372228735
0.5,A: Global TruncSVD,0.9679622132253711,0.02991312623753469,0.9530733658292714,0.01652541223274874,0.9203428571428571,0.0412596132450511,0.962753036437247,0.03075423236192031,0.5629689608636977,0.1633138419044199,0.9191902834008097,0.057806391767313864,0.9514885639295088,0.0170661990616404,0.5689363829521309,0.07874789075687112,0.9131508561429821,0.04139644578293859
0.5,A_L2: L2 row norm (no SNV),0.9628070175438596,0.037988224978980925,0.9537257842769654,0.01676843435187283,0.9129795918367347,0.04078740471921451,0.9565721997300944,0.03783638540066744,0.30458839406207827,0.1304572009396899,0.6536032388663968,0.13769149159798535,0.9521434820647419,0.016724961446257364,0.34176227971503564,0.11206937837075151,0.6196025496812898,0.14197530043410866
0.5,A_drop1: Drop PC1 (PC2–PC20),0.965910931174089,0.03205372057868511,0.9524359455068117,0.017178934010498102,0.9016326530612245,0.05271525093861916,0.9596761133603239,0.03249992604183981,0.46180836707152495,0.18178739602661287,0.9049392712550608,0.05989877440327348,0.9508536432945881,0.016395836086673148,0.5302937132858393,0.11770925600871383,0.8773428321459817,0.05877615484252622
0.5,A_drop1_scale: Drop PC1 + Scale (no SNV),0.9143049932523617,0.04704673582845669,0.8890188726409198,0.03128092421957811,0.8781224489795919,0.054145130224521595,0.8852901484480432,0.06694261441900372,0.21951417004048582,0.13432358955543136,0.45462887989203776,0.11817509474137208,0.8652668416447944,0.03367826027330497,0.23274090738657666,0.09588799091936309,0.36256967879015123,0.10164836579913532
0.5,F: PLS-DA,0.812442645074224,0.0501442605556567,0.7698537682789651,0.03838305538764391,0.7593959183673469,0.05805660586821131,0.8062078272604589,0.0454331237675183,0.3988663967611336,0.05961527323660607,0.8019433198380567,0.052086319373644094,0.7695338082739657,0.03829943577926791,0.4691263592050994,0.062056530105889955,0.7714410698662667,0.035157132740085605
1.0,A*: Global TruncSVD (Centered),0.9091228070175439,0.06192090941067524,0.8605249343832021,0.025345130361349263,0.8317877551020407,0.059850607666883715,0.8581916329284751,0.07347123678962705,0.7559784075573549,0.10333453856595702,0.903859649122807,0.058041496774520245,0.8342307211598551,0.026869872070160776,0.7755955505561805,0.07292027950897394,0.8576727909011373,0.025086113261404367
1.0,"A2*: Global TruncSVD (SNV-Pre, Centered)",0.9565182186234817,0.0230772519068574,0.9511836020497438,0.017975239015017477,0.8732081632653061,0.048065431593669425,0.9502834008097166,0.022229449033518256,0.26607287449392714,0.13532165619401607,0.6809446693657221,0.10742169574587396,0.94928383952006,0.017128038792684656,0.29936007999000125,0.10503114946866543,0.7054693163354581,0.10389188650005056
1.0,A2: Global TruncSVD (SNV-Pre),0.9554655870445344,0.027395882496191234,0.9496012998375203,0.019403817142286818,0.8731755102040816,0.04842121057148803,0.951336032388664,0.02505903663059847,0.26480431848852903,0.1567650172036037,0.6683940620782727,0.09043997868174224,0.9477015373078365,0.01914429877329432,0.3197100362454693,0.1110981716980191,0.6922259717535308,0.09772935988700314
1.0,"A3*: Global TruncSVD (MSC-Pre, Centered)",0.8685290148448043,0.036678902428743075,0.9115610548681414,0.017844976063026433,0.8472489795918368,0.057436596821621784,0.8685290148448043,0.036678902428743075,0.36963562753036433,0.12871787042702101,0.5438866396761134,0.10650078544167689,0.9115610548681414,0.017844976063026433,0.3197875265591801,0.11073425839421995,0.6401674790651168,0.09323130039846413
1.0,A3: Global TruncSVD (MSC-Pre),0.8716059379217274,0.04889226238470362,0.9074465691788527,0.01563308930264263,0.8464816326530612,0.05715807863351521,0.8716059379217274,0.04889226238470362,0.3834817813765182,0.10798114009759874,0.5597840755735493,0.08765612452329252,0.9074465691788527,0.01563308930264263,0.30769403824521935,0.09903114669484837,0.6614973128358954,0.07267037378715994
