condition,method,repeat,seed,preprocess,variant,classifier,OA,macro_F1,kappa
BandShift,Detrend,8,50,Detrend,A2_noPostSNV,svm,0.666667,0.266667,0.000000
Normal,Detrend,8,50,Detrend,A2_noPostSNV,rbf_svm,0.750000,0.482143,0.470588
BandShift,Detrend,8,50,Detrend,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,Detrend,8,50,Detrend,A2_noPostSNV,rf,0.750000,0.482143,0.470588
BandShift,Detrend,8,50,Detrend,A2_noPostSNV,rf,0.666667,0.456410,0.421687
Normal,USP,9,51,none,A_postSNV,svm,0.750000,0.790476,0.520000
BandShift,USP,9,51,none,A_postSNV,svm,0.750000,0.790476,0.520000
Normal,USP,9,51,none,A_postSNV,rbf_svm,0.833333,0.869048,0.700000
BandShift,USP,9,51,none,A_postSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,USP,9,51,none,A_postSNV,rf,0.833333,0.796296,0.600000
BandShift,USP,9,51,none,A_postSNV,rf,0.750000,0.496732,0.428571
Normal,SNV,9,51,SNV,A2_noPostSNV,svm,0.833333,0.847222,0.657143
BandShift,SNV,9,51,SNV,A2_noPostSNV,svm,0.416667,0.320513,0.034483
Normal,SNV,9,51,SNV,A2_noPostSNV,rbf_svm,0.666667,0.433333,0.342466
BandShift,SNV,9,51,SNV,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,SNV,9,51,SNV,A2_noPostSNV,rf,0.583333,0.245614,-0.132075
BandShift,SNV,9,51,SNV,A2_noPostSNV,rf,0.833333,0.796296,0.600000
Normal,SG1,9,51,SG1,A2_noPostSNV,svm,0.666667,0.738095,0.400000
BandShift,SG1,9,51,SG1,A2_noPostSNV,svm,0.750000,0.447368,0.320755
Normal,SG1,9,51,SG1,A2_noPostSNV,rbf_svm,0.666667,0.433333,0.342466
BandShift,SG1,9,51,SG1,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,SG1,9,51,SG1,A2_noPostSNV,rf,0.750000,0.647222,0.500000
BandShift,SG1,9,51,SG1,A2_noPostSNV,rf,0.833333,0.780556,0.666667
Normal,EMSC,9,51,EMSC,A2_noPostSNV,svm,0.750000,0.698413,0.560976
BandShift,EMSC,9,51,EMSC,A2_noPostSNV,svm,0.583333,0.259259,-0.034483
Normal,EMSC,9,51,EMSC,A2_noPostSNV,rbf_svm,0.750000,0.741176,0.446154
BandShift,EMSC,9,51,EMSC,A2_noPostSNV,rbf_svm,0.666667,0.266667,0.000000
Normal,EMSC,9,51,EMSC,A2_noPostSNV,rf,0.750000,0.496732,0.428571
BandShift,EMSC,9,51,EMSC,A2_noPostSNV,rf,0.833333,0.562963,0.586207
Normal,Detrend,9,51,Detrend,A2_noPostSNV,svm,0.750000,0.647222,0.500000
BandShift,Detrend,9,51,Detrend,A2_noPostSNV,svm,0.666667,0.266667,0.000000
Normal,Detrend,9,51,Detrend,A2_noPostSNV,rbf_svm,0.833333,0.561111,0.671233
BandShift,Detrend,9,51,Detrend,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,Detrend,9,51,Detrend,A2_noPostSNV,rf,0.833333,0.702614,0.641791
BandShift,Detrend,9,51,Detrend,A2_noPostSNV,rf,0.750000,0.790476,0.520000
Normal,USP,10,52,none,A_postSNV,svm,0.833333,0.847222,0.657143
BandShift,USP,10,52,none,A_postSNV,svm,0.333333,0.476190,0.127273
Normal,USP,10,52,none,A_postSNV,rbf_svm,0.833333,0.847222,0.657143
